Title,Year,Rating,Imdb,Time,Location
Birthday Girl,2001,7,6,1.33,Drawer H
Black Hawk Down,2001,,7.7,2:24,Drawer
Black Mass,2015,8,6.9,2:03,Drawer
Black snake moan,2006,7,6.9,1:56,Drawer H
Blade 1,1998,2,7.1,2:00,Spider
Blade 2,2002,2,6.7,1:57,Spider
Blade 2,2002,2,6.7,1:57,Coffin
Blade 3,2004,2,5.8,1:53,Spider
Blade Runner,1982,7,8.1,1:57,Spider
Blades of Glory,2007,6,6.3,1:33,Coffin
Blåst på 10 sekunder (Bodywork),2001,,5.4,1:32,Box
Bleed for this,2016,7,6.8,1:57,
Bleeder,1999,6,6.8,1:38,Coffin
Blinkande Lyktor,2000,9,7.5,1:49,
Blood,2012,6,6,1:32,Drawer
Blood Diamond,2006,9,8,2:23,Coffin
"Blood in, blood out",1993,8,8,2:00,Spider
Blood Work,2002,6,6.4,1:50,
Blue Caprice,2013,6,5.9,1:33,
Blue State,2007,10,5.9,1:28,Drawer
Body of Lies,2008,7,7,2:08,
Boiler Room,2000,7,7,2:00,
Bombshell,2019,7,6.8,1:49,Coffin
Borderline,2002,5,5.2,1:34,Drawer H
Borta bäst hemma värst,2008,6,5.7,1:28,
Bottoms up,2006,5,2.3,1:29,Box
Bound,1996,8,7.3,1:49,
Boy A,2007,,7.6,1:46,
Boys and Girls,2000,,5.4,1:34,Drawer
Boys Don't Cry,1999,10,7.2,1:58,Shelf 
Boys on the run,2003,5,5.4,1:37,
Braindead,1992,,7.5,1:44,Coffin
Braveheart,1995,8,8.3,2:58,
Breach,2007,,7,1:50,Box
Breaker! Breaker!,1977,,4.2,1:26,
Breaking and entering,2006,8,6.5,2:00,Drawer H
Bride Wars,2009,,5.5,1:29,Box
Brides Maids,2011,7,6.8,2:05,
Bridget Jones dagbok,2001,6,6.8,1:37,
Bridget Jones´s baby,2016,6,6.4,2:03,
Brighton Rock,2010,6,5.7,1:51,Drawer H
Bröder,2004,,7.5,1:57,
Bröderna Grim,2005,,5.9,1:58,Spider
Brokeback Mountain,2005,10,7.7,2:14,Shelf
Broken Embraces,2009,7,7.2,2:07,Drawer H
Brooklyn Rules,2007,7,6.3,1:39,Drawer
Brooklyn's Finest,2009,7,6.7,2:12,Box
Brothers,2009,8,7.1,1:45,Drawer
Brothers in arms,2005,,2.5,1:25,Drawer
Bruce den allsmäktige,2003,,6.8,1:41,
Brudens bäste man,2008,6,5.9,1:41,
Buffalo Soldiers,2001,6,6.7,1:38,Drawer
Buffy the Vampire Slayer Season 1-2,1997,10,8.3,0:45,
Bullit,1968,,7.4,1:54,Spider
