Title,Year,Rating,Imdb,Time,Location
Lets go to prison,2006,6,5.9,1:24,Drawer
Letters to Juliet,2010,,6.5,1:45,Coffin
Liar Liar,1997,,6.9,1:26,Box
Liberal Arts,2012,6,6.7,1:37,Drawer H
Liberty still stands,2002,,5.7,1:36,Box
License to wed,2007,6,5.3,1:31,Drawer H
Life Happens,2011,6,5.6,1:40,Drawer
Liftarens guide till galaxen,2005,,6.7,1:49,Spider
Like Crazy,2011,,6.6,1:26,Box
Lincoln Lawyer,2011,6,7.3,1:58,Coffin
Linewatch,2008,7,5.5,1:30,Drawer H
Lions for Lambs,2007,,6.2,1:32,Box
Little Miss Sunshine,2006,8,7.8,1:41,
Little New York,2009,,5.9,1:36,Coffin
Live by Night,2016,,6.4,2.09,Box
Livet på Orange drive,2011,,5.8,1:30,Box
Living High,2006,,5.4,1:35,Box
Lock Stock & Two smoking barrels,1998,8,8.1,1:47,Box
Logan,2017,7,8.1,2:17,
London River,2009,6,6.9,1:24,
London to Brighton,2006,8,6.9,1:25,
Lonely Hearts Killers,2006,8,6.4,1:48,Coffin 
Lord of War,2005,6,7.6,2:02,
Lords of Dogtown,2005,8,7.1,1:47,
Lost and delirious,2001,,6.9,1:43,Coffin
Lost in Translation,2003,9,7.7,1:42,Shelf
Love & other drugs,2010,6,6.7,1:52,Drawer H
Love Actually,2003,7,7.6,2:15,Drawer
Love happens,2009,,5.7,1:49,Box
Love in Manhattan,2006,8,6.9,1:42,
Love is strange,2014,,6.7,1:34,Box
Loverboy,2005,,5.3,1:24,Box
Lucky You,2007,5,5.9,2:04,Drawer H
Lycky Number Slevin,2006,6,7.7,1:50,Drawer H
Machine Gun Preacher,2011,8,6.8,2:09,Coffin
Mad Money,2008,,5.9,1:44,Box
Maffiabröder,1990,9,8.7,2:25,Spider
Maggie´s Plan,2015,6,6.2,1:38,Drawer H
Magnolia,1999,8,8,3:08,Box
Maid in Manhattan,2002,6,5.4,1:45,
Malice,1993,6,6.5,1:47,Drawer H
Mallrats,1995,10,7.1,1:34,Shelf
Mallrats,1995,10,7.1,1:34,Coffin
Mamma Mia,2008,7,6.5,1:48,
Mannen med oxpiskan,1973,,7.5,1:45,Coffin
Margot at the wedding,2007,,6,1:31,Box
Marie Antoinette,2006,5,6.5,2:03,Coffin
Mark of a murderer,2002,7,6.1,1:48,Drawer
Mars Attacks,1996,7,6.4,1:46,Spider
Masked and Anonymous,2003,,5.3,1:52,
Match Point,2005,8,7.6,2:04,Shelf
Matchstick Men,2003,7,7.3,1:56,Drawer H
Matrix,1999,7,8.7,2:16,
Max Payne,2008,5,5.4,1:40,
Maxmanus,2008,8,7.3,1:58,Drawer
McCanick,2013,4,4.7,1:36,Drawer H
Me and you and everyone we know,2005,7,7.2,1:25,
Mean Machine,2001,6,6.4,1:39,
Mean Streets,1973,6,7.2,1:52,
Meet the Fockers,2004,5,6.3,1:55,Coffin 
Meet the parents,2000,,7,1:48,Box
Meet the parents Little Fockers,2010,,5.5,1:38,Box
Men of Honor,2000,7,7.2,2:09,
Miami Vice,2006,5,6,2:12,Coffin 
Michael Clayton,2007,6,7.2,1:59,Drawer
Middle Men,2009,7,6.8,1:45,Drawer
Midnight in Alaska,2009,6,4.4,1:39,Drawer H
Midnight in Paris,2011,9,7.6,1:34,Shelf
Mile 22,2018,6,6.1,1:34,Drawer H
Miller's Crossing,1990,7,7.7,1:55,Drawer H
Million Dollar Baby,2004,9,8.1,2:12,
Min stora feta grekiska semester,2009,,6,1:35,Box
Miss Congeniality 2,2005,,5.2,1:55,Box
Miss Meadows,2014,6,5.8,1:28,Coffin
Mitt Super Ex,2006,6,5.2,1:36,
Mona Lisa smile,2003,,6.6,1:57,Box
Money Monster,2016,6,6.5,1:38,Drawer H
Monster's Ball,2001,10,7.1,1:51,Shelf
Monthy Python Ett herrans liv,1979,9,8.1,1:34,Spider
Monty Python Meningen med livet,1983,,7.5,1:47,Spider
Monty Pythons Galna värld,1975,,8.2,1:31,spider
Moonlight,2016,6,7.4,1:51,Coffin
Mortdecai,2015,,5.5,1:47,Coffin
Motstånd,2008,,7.2,2:17,
Mr. Nice,2010,,6.4,2.01,Box
Mulholland Falls,1996,6,6.3,1:47,
Murder by numbers,2002,7,6.2,1:52,Drawer H
Muriels Bröllop,1994,7,7.3,1:46,Drawer H
Music and lyrics ,2007,6,6.5,1:44,
My one and only,2009,5,6.5,1:48,
Mystic River,2003,10,7.9,2:18,Shelf
Nashville the complete series,2012,10,7.7,0:43,Shelf
Natural Born Killers,1994,7,7.2,1:59,Shelf
Never talk to strangers,1995,,5.2,1:26,Box
New town killer,2008,,5.6,1:40,Box
New Years Eve,2011,7,5.6,1:58,Drawer H
New York Immigrant,2013,8,6.6,2:00,Drawer
Nine,2009,,5.8,1:58,
Nine Queens,2000,,7.9,1:54,Box
Nio liv,2016,,6.3,1:48,Box
No Direction Home,2005,10,8.5,3:28,
No Escape,2015,8,6.8,1:43,Drawer H
No escape (Inescapable),2012,7,5.1,1:31,
No strings attached,2011,6,6.2,1:48,
Nocturnal Animals,2016,10,7.5,1:56,Shelf
Notting Hill,1999,8,7.2,2:04,
Nowhere Boy,2009,,7.1,1:38,Drawer
Nyckeln til Frihet,1994,8,9.3,2.22,
O Brother where art thou,2000,8,7.7,1:47,Shelf
Oceans Eleven,2001,6,7.7,1:56,
Oceans Thirteen,2007,,6.9,2:02,
Oceans Twelve,2004,,6.5,2:05,
och så kom Polly,2004,7,6,1:30,
Office christmas party,2016,,5.9,1:45,Box
Office rats,2011,6,5.3,1:34,Drawer H
Old boy,2003,,8.4,2:00,Spider
Old School,2003,8,7,1:28,Drawer H
On the road,2012,7,6,2:04,Drawer
Once upon a time in America,1984,8,8.3,3:49,Shelf
Once upon a time in Hollywood,2019,8,7.6,2:41,Shelf
Once upon a time in Mexico,2003,6,6.3,1:42,Drawer H
Once upon a time in the west,1968,7,8.5,2:46,Coffin
Ondskan,2003,,7.8,1:53,Coffin
One Fine Day,1996,5,6.5,1:48,Drawer H
One Man's Hero,1999,,6,2:01,Box
One More Time,2015,7,4.9,1:38,
Ong-bak,2003,,7.2,1:45,Spider
Only God Forgives,2013,4,5.7,1:30,Coffin 
Open Range,2003,8,7.4,2:19,Drawer
Orange County,2002,6,6.2,1:22,Drawer H
Ordinary decent criminal,2000,,6.3,1:33,Box
Oskuldens tid (Cracks),2009,6,6.6,1:44,
Out of the blue,2006,5,7.1,1:43,Drawer H
Out of Time,2003,6,6.5,1:45,Drawer
Outside the law,2010,,6.6,2:18,Coffin
Outsourced,2006,6,7,1:43,Drawer
P.S. I love you,2007,7,7,2:06,
P2,2007,6,5.9,1:38,Drawer H
Pain & Gain,2013,,6.4,2:09,Box
Pale Rider,1985,,7.3,1:55,
"Palo Alto, CA",2007,6,6.3,1:40,Drawer H
Pans Labyrint,2006,8,8.5,1:58,Coffin
Paparazzi,2004,6,5.7,1:24,Drawer H
Papillon,1973,,8,2:31,Box
Paranoia ,2013,,5.6,1:46,Box
Paranoid Park,2007,,6.6,1:26,Box
Parasit,2019,6,8.6,2:12,Coffin
Passengers,2026,7,7,1:56,Coffin
Passion Play,2010,,4.6,1:34,Coffin
Patriots Day,2016,8,7.4,2:13,Coffin
Peaple I know,2002,5,5.4,1:40,Drawer H
Perrier's Bounty,2009,,6.3,1:28,Box
Personal Effects ,2009,,6.2,1:51,Box
Pirates of the Caribbean at worlds end,2007,,7.1,2:49,Box
Pirates of the Caribbean Dead Mans Chest,2006,,7.4,2:31,Box
Planet Terror,2007,,7,1:45,Shelf
Playing for keeps,2012,,5.7,1:45,Box
Pledge this,2006,,1.7,1:38,Box
Plutonen,1986,8,8.1,2:00,
Pool,2020,9,4.4,1:31,Coffin
Populärmusk från Vittula,2004,,6.5,1:45,Spider
Precious,2009,,7.3,1:50,Box
Pretty Woman,1990,8,7.1,1:59,Drawer
Pride and Glory,2008,6,6.6,2:10,
Prime,2005,5,6.2,1:45,Drawer
Prison,1987,,5.8,1:42,Coffin
Proof,2005,7,6.7,1:40,Drawer H
Public Enemies,2009,6,6.9,2:20,
Pulp Fiction,1994,8,8.9,2:34,Shelf
Pulp Fiction,1994,8,8.9,2:34,Spider
Punch drunk love,2002,7,7.3,1:35,Spider
Puser 3,2005,,7.3,1:48,Shelf
Pusher,1996,8,7.3,1:50,Shelf
Pusher II,2004,7,7.3,1:40,Shelf
Rabbit Hole,2010,,6.9,1:31,Box
Raging Bull,1980,7,8.1,2:09,
Rails & Ties,2007,6,6.7,1:41,Drawer H
Rambo,2008,,7,1:32,Coffin
Rambo First Blood,1982,,7.7,1:33,
Rampart,2011,,5.8,1:48,Box
Rare Birds,2001,,6.4,1:39,Box
Raw/Delirous Eddie Murphy,1987,10,7.7,1:33,Spider
Ready or not,2019,5,6.9,1:35,Coffin
Ready or not,2009,,4.7,1:28,Coffin
Recoil,1998,,5.3,1:36,Box
Red,2010,6,7,1:51,Drawer H
Red Eye,2005,8,6.5,1:25,Spider
Red Lights,2012,,6.2,1:54,Box
Red Riding 1983,2009,6,7.2,1:40,Coffin
Red Riding Hood,2011,4,5.4,1:40,
Red State,2011,7,6.2,1:28,Coffin
Redblelt,2008,6,6.7,1:39,Drawer H
Redemption (Red),2008,,6.9,1:33,Box
Reign over me,2007,7,7.4,2:04,Drawer H
Remember Me,2010,8,7.1,1:53,Drawer
Renaissance man,1994,,6.2,2:08,Box
Requiem for a dream,2000,10,8.3,1:42,Shelf
Rescue Dawn,2006,,7.3,2:05,
Reservation Road,2007,7,6.6,1:42,
Reservoir Dogs,1992,9,8.3,1:39,Shelf
Reservoir Dogs,1992,9,8.3,1:39,
Resident Evil: Extinction,2007,,6.2,1:34,
Revolver,2005,6,6.3,1:51,Drawer H
Richard Jewel,2019,7,7.5,2:11,Coffin
Ricki and the Flash,2015,,6,1:41,Box
Riddick,2013,4,6.4,1:59,
Righteous Kill,2008,5,6,1:41,
Road to perdition,2002,7,7.6,1:57,Drawer H
Rob the Mob,2014,,6.3,1:44,Box
Robin Hood,2010,6,6.6,2:20,
Robin Hood Prince of Thieves ,1991,8,6.9,2:23,
Rock of Ages,2012,,5.9,2:03,Box
RocknRolla,2008,,7.2,1:54,Box
Rocky,1976,10,8.1,2:00,Shelf
Röda Draken,1986,7,7.2,2:00,
Rogue One,2016,10,7.8,2:13,Coffin
Role Models,2008,6,6.8,1:38,
Romance & Cigarettes,2005,,6.2,1:45,Box
Romper Stomper,1992,8,6.8,1:34,Coffin
Roots of Evil,1992,,3.9,1:35,
Rough Night,2017,5,5.2,1:41,Box
Rounders,1998,,7.3,2:01,Box
Rumor has it,2005,7,5.5,1:37,
Run all night,2015,6,6.6,1:54,Drawer H
Runaway Bride,1999,6,5.6,1:56,Drawer H
Runaway Jury,2003,6,7.1,2:07,Drawer H
Runner Runner,2013,7,5.6,1:28,Drawer H
Running Scared,2006,7,7.3,2:02,Drawer H
Rush,2013,8,8.1,2:03,
S.O.S,1988,,6.2,1:44,
S1mone,2002,,6.1,1:57,Box
Safe,2012,,6.5,1:34,Box
Saint John of Las Vegas,2009,6,5.7,1:25,Drawer
Sällskapsresan,1980,,7.2,1:47,
Salt,2010,6,6.5,1:40,Drawer H
Savages,2012,9,6.4,2:11,Shelf
Save the date,2012,,5.7,1:37,Box
Saving Private Ryan,1998,,8.6,2:49,
Savior ,1998,8,7.2,1:43,Drawer
Scarface,1983,9,8.3,2:50,Spider
Scary Video,2000,,4,1.26,Coffin
Scent of a woman,1992,8,8,2:36,Drawer
School of rock,2003,8,7.2,1:49,
Scott Pilgrim,2010,2,7.5,1:52,Coffin
Scream 2,1997,,6.3,2:00,
Scream 3,2000,,5.6,1:56,Coffin
Scrubs season 1,2001,8,8.3,0:30,Coffin
Sea of Love,1989,7,6.8,1:53,Drawer
Searching for love (Free samples),2012,5,5.6,1:20,Drawer H
Seconds to spare,2002,,4.6,1:40,Box
Secuestro Express,2004,,6.5,1:26,Box
Seeking justice,2011,,6.1,1:45,Box
Semanta Santa,2001,,4.2,1:31,
Seperate lies,2005,,6.4,1:25,Box
Serena,2014,,5.4,1:49,Box
Serenity,2005,10,7.8,1:59,Shelf
Serenity,2005,10,7.8,1:59,Spider
Serenity ,2019,6,5.4,1:46,
Serious Moonlight,2009,5,5.4,1:21,Coffin 
Serpico,1973,7,7.7,2:10,
Seven,1995,8,8.6,2:07,Spider
Seven Pounds,2008,,7.6,2:03,Box
Shadow Dancer,2012,6,6.2,1:41,Coffin
Shaft,2000,7,6,1:39,
Shakespeare in love,1998,,7.1,2:03,Drawer
Shall we dance,2004,,6.2,1:46,
Shanghai,2010,7,6.4,1:45,Coffin
Shaun of the dead,2004,,7.9,1:39,Spider
She's so lovely,1997,6,5.9,1:40,Drawer
Shogun Assassin,1980,,7.3,1:25,
Shooter,2007,6,7.1,2:04,Drawer H
Showgirls,1995,5,5.2,2:11,
Showtime,2002,6,5.6,1:35,Drawer H
Shutter Island,2010,8,8.2,2:18,Coffin 
Sideways,2004,9,7.5,2:07,Shelf
Silverado,1985,6,7.2,2:13,Coffin
Simply Irresistible,1999,6,5.2,1:36,
Sin City,2005,8,9,2:04,
Sinners and saints,2010,7,6.1,1:44,
Skiptrace,2016,5,5.6,1:47,
Skottår,2010,7,6.4,1:40,Shelf
Skulls,2000,,5.6,1:46,Box
Slaget vid Passendale,2008,,6.4,1:54,
Slip Stream,2007,,4.9,1:36,Coffin
Slow Burn,2005,5,5.7,1:33,Drawer
Slumdog Millionaire,2008,9,8,2:00,Coffin
Smashed,2012,6,6.7,1:21,Drawer
Smokin Aces,2006,6,6.6,1:48,Drawer H
Snatch,2000,7,8.2,1:42,
Snow white and the huntsman,2012,5,6.1,2:07,Box
Snowroller,1985,,6.6,1:31,
Snuten i Hollywood,1984,8,7.3,1.45,Spider
Snuten i Hollywood 2,1987,9,6.5,1:43,Spider
"Snygg, Sexig & Singel",2002,5,5.2,1:24,
Solstice,2008,,5.3,1:31,Coffin
Someone Marry Barry,2014,,5.8,1:27,Box
Son of no one,2011,7,5.1,1:30,Drawer H
Song One,2014,6,5.8,1:26, Coffin 
Source Code,2011,,7.5,1:33,Box
South Park season 2,1997,10,8.7,0:22,
Sparkle,2007,,6,1:40,Box
Spartan,2004,6,6.5,1:46,Drawer H
Spiderman 1,2002,4,7.3,2:01,Spider
Spiderman 2,2004,4,7.4,2:07,spider
Spy Game,2001,7,7.1,2:06,
Star Wars A New Hope,1977,10,8.6,2:01,Box
Star wars The force awakens,2015,10,7.8,2:18,Coffin
Star wars The last jedi,2017,10,6.9,2:32,Coffin
Star wars The rise of Skywalker,2019,10,6.5,2:21,Coffin
Stardust,2007,7,7.6,2:07,
State and Main,2000,6,6.7,1:45,Drawer H
Stay Cool,2009,,4.9,1:34,Box
Steel Magnolias,1989,,7.3,1:57,Box
Step brothers,2008,8,6.9,1:38,Drawer H
Step on it (pay off),2003,,4.6,1:49,
Straight A's,2013,,5.6,1:31,Box
Street Kings,2008,7,6.8,1:49,
Streets of Blood,2009,4,4.4,1:35,Box
Stuck on you,2003,,5.8,1:58,Box
Stulna kyssar,1968,5,7.6,1.31,Coffin
Suburban Girl,2007,6,5.4,1:37,Drawer
Sucker Punch,2011,6,6,1:50,Coffin
Summer's Blood,2009,,4.4,1:31,
Super 8,2011,6,7,1:52,Drawer H
Superbad,2007,7,7.6,1:53,Drawer H
Surveillance,2008,7,6.3,1:37,Drawer H
Suspect zero,2004,5,5.8,1:39,
Sweeny Todd,2007,4,7.3,1:56,
Sweet Dreams (Skagerrak),2003,6,6.1,1:44,
Sweet home Alabama,2002,6,6.2,1:48,
Sweet Vengance,2013,7,6.2,1:35,Drawer H
Sword of Vengeance,1972,,7.7,1:24,
Swordfish,2001,6,6.5,1:39,
Sylvia,2003,,6.3,1:40,Drawer
Syndikatet,2014,,7.1,2:15,Drawer
Take,2007,6,5.8,1:38,Drawer H
Taken,2008,7,7.7,1:30,Drawer H
Taken 2,2012,7,6.2,1:32,Drawer H
Taking Lives,2004,6,6.2,1:43,Drawer H
Talladega Nights,2006,7,6.6,1:48,
Tatanka,2011,7,6.2,1:40,Drawer
Taxi Driver,1976,10,8.2,1:54,Shelf
Tenderness,2009,6,5.4,1:41,Box
Terminator,1984,10,8,1:47,Spider
Terminator 2,1991,8,8.5,2:17,Spider
Texas Killing Fields,2011,6,5.7,1:45,Box
Thanks for sharing,2012,8,6.4,1:52,Coffin 
That awkward momet,2014,6,6.1,1:34,Drawer
That's my boy,2012,,5.6,1:56,Box
The Adjustment Bureau ,2011,6,7,1:46,Drawer H
The Adventures of Ford Fairlane,1990,10,6.4,1:44,Shelf
The Air I Breathe,2007,6,6.7,1:35,
The Alamo,2004,7,6.1,2:17,
The Alphabet Killer,2008,5,5.2,1:38,Coffin
The art of the steal,2013,6,6.3,1:30,Drawer
The Assassination of Jesse James by the Coward Robert Ford,2007,7,7.5,2:40,
The assassination of Richard Nixon,2004,7,6.9,1:35,Drawer
The Aviator,2004,,7.5,2:50,Coffin
The Bachelor,1999,,5.1,1:41,Box
The back up plan,2010,,5.3,1:44,Box
The Bag Man,2014,7,5.2,1:48,Drawer H
The Ballad of Jack & Rose,2005,,6.5,1:52,Box
The Beach,2000,7,6.6,1:59,Drawer H
The Big Blue,1988,10,7.6,2:48,Shelf
The Black Adder,1982,10,8,0:30,Coffin
The book of Eli,2010,6,6.8,1:58,Drawer H
The Boondock Saints,1999,6,7.7,1:48,Coffin
The Boondock Saints 2,2009,5,6.2,1:58,Drawer H
The Bourne Supremacy,2004,,7.7,1:48,Box
The Bourne Ultimatum,2007,6,8,1:55,Coffin 
The Brave One,2007,8,6.7,2:02,Drawer
The break-up,2006,6,5.8,1:46,
The Brothers Bloom,2008,,6.7,1:54,Box
The Butcher,2009,5,5.3,1:35,Drawer H
The Butler,2013,,7.2,2:12,Box
The Calcium Kid,2004,7,5.6,1:29,Drawer H
The Captive,2014,7,5.9,1:52,Drawer H
The change up,2011,,6.3,1:52,Box
The Commitments,1991,,7.6,1:58,Box
The Contract,2006,,5.6,1:36,Box
The Counselor,2013,7,5.4,1:57,Box
The Crazies,2010,,6.5,1:41,Drawer
The Crimson Rivers 2,2004,,5.9,1:40,Box
The Crow,1994,10,7.6,1:42,Shelf
The Crow,1994,10,7.6,1:42,
The Dark Knight Rises,2012,6,8.4,2:44,Coffin
The Dark Knigt,2008,7,9,2:32,Coffin 
The day the earth stood still,2008,6,5.5,1:44,Drawer H
The Deal,2008,,5.6,1:40,Box
The death of Charlie Countryman,2013,7,6.4,1:43,Coffin
The Deer Hunter,1978,10,8.1,3:03,Shelf
The Departed,2006,10,8.5,2:31,Shelf
The dicapperance of Alice Creed,2009,8,6.7,1:40,Drawer H
The Dilemma,2011,6,5.3,1:51,
The double,2011,,5.9,1:38,Box
The Duel,2000,,5.9,1:46,Coffin
The Electric Mist,2009,,6.1,1:57,Box
The entitled,2011,5,6.1,1:31,Drawer H
The Expendables,2010,5,6.4,1:44,
The Family Stone,2005,7,6.3,1:43,Drawer H
The Fan,1996,,5.9,1:56,Box
The Fifth Element,1997,8,7.6,2:06,
The Fighter,2010,10,7.8,1:56,Shelf
The Finest Hours,2016,,6.7,1:57,Box
The five year engagement ,2012,8,6.2,2:04,Drawer H
The Flock,2007,7,6.7,1:36,
The Gentlemen,2019,8,7.8,1:53,Coffin
The Ghost Writer,2010,,7.2,2:08,Box
The Gift,2000,,6.7,1:51,Box
The girl next door,2007,9,6.5,1:31,
The Godfather,1972,10,9.2,2:55,Shelf
The Godfather,1972,10,9.2,2:55,
The Godfather II,1974,10,9,3:22,Shelf
The Godfather II,1974,10,9,3:22,
The Godfather III,1990,9,7.6,2:42,Shelf
The Godfather III,1990,9,7.6,2:42,
The golden child,1986,7,6,1:34,Spider
The golden door (falling up),2009,,5.6,1:38,Box
The good girl,2002,7,6.4,1:33,Drawer
The good heart,2009,7,6.8,1:39,Drawer H
The Grand,2007,,5.9,1:44,Box
The Great Gatsby,2013,7,7.2,2:23,Coffin
The Green Mile,1999,8,8.6,3:09,Drawer
The Guardian ,2006,8,6.9,2:19,Drawer H
The Hangover,2009,7,7.7,1:40,Drawer H
The Hangover II,2011,7,6.5,1:42,Drawer H
The Hangover III,2013,6,5.9,1:40,Drawer H
The heartbreak kid,2007,7,5.8,1:56,
The Heavy,2009,5,4.9,1:42,
The Holiday,2006,8,7,2:16,
The Hours,2002,9,7.5,1:50,
The Hunted,2003,6,6.1,1:34,
The Hurricane,1999,8,7.6,2:26,
The Hurt Locker,2008,7,7.5,2:11,
The Ice Harwest,2005,7,6.2,1:32,Drawer
The Iceman ,2012,7,6.8,1:46,Drawer
The Indian Runner,1991,10,7,2:07,Shelf
The Infiltrator,2016,7,7,2:07,
The International,2009,6,6.5,1:58,Drawer H
The interpreter,2005,7,6.4,2:08,Drawer H
The Invasion,2007,6,5.9,1:39,Drawer H
The Italian Job,2003,6,7,1:51,Drawer H
The Joneses,2009,6,6.4,1:36,Drawer
The Judge,2014,,7.4,2:21,Box
The Kids are alright,2010,7,7,1:46,Coffin
The Killer Inside Me,2010,4,6.1,1.49,Coffin
The Kingdom,2007,7,7,1:50,Drawer H
The last castle,2001,,7,2:11,Box
The last king of Scotland,2006,7,7.6,2:03,Drawer
The Last Samurai,2003,8,7.8,2:34,Drawer H
The last seduction,1994,,7,1:50,Box
The long weekend,2005,6,5.2,1:30,
The Lovely Bones,2009,8,6.6,2:15,Drawer
The machinist,2004,7,7.7,1:41,Spider
The Manchurian Canditate,2004,6,6.6,2:09,
The matador,2005,,6.7,1:36,Box
The men who stares at goats,2009,,6.2,1:34,Box
The Merry Gentlemen,2008,6,6.3,1:50,Drawer H
The Messenger,2009,,7.1,1:53,Box
The Mexican,2001,6,6.1,2:03,Drawer H
The motorcycle diaries,2004,,7.7,2:05,Box
The new daughter,2009,4,5.3,1:48,Drawer H
The next three days,2010,6,7.3,2:13,Drawer H
The night we called it a day,2003,,5.8,1:37,Box
The Ninja Mission,1984,,4.1,1:33,
The Ninth Gate,1999,6,6.7,2:13,Drawer H
The numbers station,2013,6,5.6,1:29,Drawer H
The Office,2001,10,8.5,0:30,
The open road,2009,5,5.5,1:30,Coffin
The other bride,2011,,6.1,1:29,Box
The Other Guys,2010,6,6.7,1:47,Drawer H
The passion of the christ,2004,,7.2,2:07,Spider
The Patriot,2000,8,7.2,2:45,Coffin
The Peacemaker,1997,7,6,2:04,Drawer H
The Peanut Butter Falcon,2019,9,7.6,1:37,Coffin
The Perfect Catch Fever Pitch,2005,5,6.2,1:44,
The perfect guy,2015,,5.6,1:40,Box
The Perfect Man,2005,,5.5,1:40,Box
The place beyond the pines,2012,7,7.3,2:20,
The power of few,2013,,5.1,1:36,Box
The Pretty One,2013,,6.3,1:30,Box
The private lives of Pippa Lee,2009,,6.3,1:38,Box
The Prodigy,2005,,5.3,2:00,Box
The Proposal,2009,6,6.7,1:48,
The Punisher,1989,,5.6,1.29,
The Punisher,2004,,6.4,2:04,Box
The pursuit of happyness,2006,7,8,1:57,Drawer
The Ramen Girl,2008,6,6.3,1:42,Drawer H
The Raven,2012,7,6.4,1:50,Drawer H
The Real Omen,2006,,3.2,1:01,
The Revenant,2015,7,8,2:36,Box
The Rocker,2008,6,6.2,1:42,Drawer H
The Romantics,2010,,5,1:35,Box
The rules of attraction,2002,,6.6,1:50,Box
The running man,1987,6,6.7,1:41,Spider
The Scorpion King,2002,,5.5,1:32,Coffin
The sea of trees,2015,5,6.1,1:50,
The secret life of words,2005,7,7.4,1:55,Drawer
The Sessions,2012,,7.2,1:35,Box
The silencing,2020,7,6.3,1:33,
The Sister Brothers,2018,8,6.9,2:02,
The smell of success,2009,,5.2,1:36,Box
The Snowman,2017,7,5.2,1:59,Drawer H
The Social Network,2010,6,7.8,2:00,
The Spirit,2008,5,4.7,1:43,Drawer H
The Station agent,2003,8,7.6,1:29,Spider
The Station agent,2003,8,7.6,1:29,Shelf
The story of Whisky,,4,,,Coffin
The Sum of all Fears,2002,7,6.5,2:04,
The Sweeny,2012,,6.1,1:53,Box
The switch,2010,6,6.1,1:41,
The taking of Pelham 123,2009,,6.4,1.46,Coffin
The Talented Mr. Ripley,1999,,7.4,2:19,
The Terminal,2004,8,7.4,2:08,Coffin 
The Thin red line,1998,,7.6,2:50,Box
The To Do List,2013,6,5.8,1:44,Coffin 
The tourist,2010,6,6,1:43,
The Town,2010,8,7.5,2:05,Shelf
The Traveler,2010,,4.2,1:36,Box
The truth about Charlie,2002,,4.7,1:44,Box
The ugly truth,2009,6,6.4,1:36,
The Unsaid,2001,6,6.6,1:51,Drawer H
The upside of anger,2005,6,6.8,1:58,
The usual suspects,1995,9,8.5,1:46,
The Village,2004,,6.5,1:48,spider
The Visitation,2006,5,5.1,1:43,
The walker,2007,,5.8,1:48,Box
The watcher,2000,7,5.3,1:37,Drawer H
The watcher (the cry of the owl),2009,6,5.9,1:40,Drawer H
The whole ten yards,2004,,5.5,1:38,
The Wolf of Wall Street ,2013,7,8.2,3:02,Drawer H
The Wrestler,2008,7,7.9,1:49,
The Yards,2000,7,6.4,1:55,Drawer H
Then she found me,2007,,5.9,1:40,
Therese D,2012,4,6.1,1:50,
Think like a man too,2014,,5.7,1:46,Box
Thirteen Days,2000,6,7.3,2:25,
This is 40,2012,8,6.2,2:12,Drawer H
This must be the place,2011,8,6.7,1:58,Drawer
"Three billboards outside ebbing, missouri",2017,8,8.1,1:55,
Thriller,1973,,6.4,1:47,Coffin
Till varje pris,1995,7,6.8,1:46,
Tiptoes,2002,,4.2,1:30,Box
To the wonder,2012,,5.8,1:52,Box
Tomb Raider,2018,6,6.3,1:59,Drawer H
Tomorrow when the war began,2010,,6.1,1:44,Box
Too young to die,1990,9,5.9,1:32,Drawer
Top Gun,1986,8,6.9,1:49,
Touchback,2011,7,6.5,1:58,Drawer
Traffic,2000,9,7.6,2:27,Shelf
Trailer Park Boys Coundown to Liquor Day,2009,10,7.3,1:42,
Trailer Park Boys Season 1-7,2001,10,8.5,0:30,
Trailer Park Boys X-mas special,2004,10,8,0:57,
Training Day,2001,7,7.7,2:02,
Trainspotting,1996,8,8.1,1:33,Spider
Transporter,2002,,6.8,1:32,Spider
Transporter 2,2005,,6.3,1:27,Spider
Trespass,2011,7,5.3,1:31,
Trespass against us,2016,6,5.8,1:39,Drawer H
Tretton,2003,9,6.8,1:40,Shelf
Triple 9,2016,,6.3,1:55,Box
Troja,2004,6,7.3,2:43,
Trouble in LA,2010,8,5,1:40,Drawer
Trouble with the curve,2012,8,6.8,1:51,Drawer
True Gun,2011,,4.5,1:37,Coffin
True Romance,1993,10,7.9,1:59,Shelf
True Romance,1993,10,7.9,1:59,
Trust the man,2005,5,5.7,1:43,
Tsotsi,2005,6,7.2,1:34,Drawer
Tully,2018,5,6.9,1:35,
Twelfth Night,1996,,7.1,2:14,
Twin Peaks,1990,10,8,0:50,Coffin
Two for the money,2005,5,6.3,2:02,Spider
Two lovers,2008,6,7,1:50,Drawer H
Unbroken,2014,,7.2,2:17,Drawer
Uncertainty,2008,6,5.7,1:41,Drawer H
Undefeated,2003,7,5.2,1:32,Drawer H
Underworld,2003,,7,2:01,Spider
Unforgiven,1992,7,8.2,2:10,Box
Unit 7,2012,,6.5,1:36,Box
United 93,2006,,7.6,1:51,Box
Unthinkable,2010,,7,1:37,Box
Up in the air,2009,7,7.4,1:49,Drawer H
Uppdrag Makt,2009,6,6.1,1:43,Drawer
V för Vendetta,2005,7,8.1,2:12,
Vacation,2015,,6.2,1:39,Box
Vägen,2009,7,7.2,1:51,
Valentines Day,2010,6,5.7,2:05,Shelf
Vantage Point,2008,,6.6,1:30,Box
Världen räcker inte till,1999,,6.4,2:08,Coffin
Veronika bestämmer sig för att dö,2009,5,6.3,1:43,
